Bank	Address	Name	CallingConvention	RegisterInputs	RegisterOutputs	DirectMemoryWrites	Calls
17	92D8	MapSystem_Entry_92D8	Direct ROM analysis: Resume after two-byte inline BRK service at $92D5		P		
17	92F6	MapSystem_Entry_92F6	Direct call from $17:$8128; Direct call from $17:$891A; Direct call from $17:$89F4	A,X	A,P,X	$048A+X	$9331
17	9309	MapSystem_Entry_9309	Direct ROM analysis: Resume after two-byte inline BRK service at $9306		P		
17	9314	MapSystem_Entry_9314	Direct call from $17:$8D82	A	A,P	$048D,$048E,$048F,$0490	$9331
17	9330	MapSystem_Entry_9330	Direct ROM analysis: Resume after two-byte inline BRK service at $932D		P		
17	9331	MapSystem_Entry_9331	Direct call from $17:$92B6; Direct call from $17:$92C7; Direct call from $17:$92F8; Direct call from $17:$9316; Direct call from $17:$9348	A,X	A,P,X	$0480+X,$04F2,$04F3	
17	9346	MapSystem_Entry_9346	Direct ROM analysis: Routine called from bank $17:$923D; Direct call from $17:$923E	A,X	A,P,X	$0481,$0481+X,$049A,$049D,$04B6,$04F3	$9331
17	9371	MapSystem_Entry_9371	Direct ROM analysis: Resume after two-byte inline BRK service at $936E		P		
17	9372	MapSystem_Entry_9372	Direct call from $17:$806F	A,X	A,P,X	$05FC+X,$2006,$2007	$93AA,$93EF,$C58F,$C5AF,$FF74
17	93AA	MapSystem_Entry_93AA	Direct call from $17:$937A; Direct call from $17:$937F	A,X,Y	A,P,X,Y	$2006,$2007,$29,$2A,$2B	
17	93EF	MapSystem_Entry_93EF	Direct call from $17:$9384; Direct call from $17:$9387	A,X,Y	A,P,X,Y	$2006,$2007,$29,$2A,$2B	
17	9446	Bank17_UiService	Direct ROM analysis: Coherent UI service routine immediately after PPU descriptor table; Direct call from $17:$81EE; Direct call from $17:$88A7; Direct call from $17:$89A1; Direct call from $17:$9D14		P,X		$C90C,$F0C7
17	9451	MapSystem_Entry_9451	Direct ROM analysis: Resume after two-byte inline BRK service at $944E		P		
17	9BFA	MapSystem_Entry_9BFA	Pointer $17:$8004 (38-entry mixed map-system directory followed by code at $804C)	A	A,P	$1F	$C5C5
17	9C07	Bank17_MapUiEntry	Direct ROM analysis: Resume after three-byte inline BRK service at $9C03		P		$9C35,$9C5F,$9C7E,$A57A,$A599,$A7FE,$A875,$C54E,$C58F,$C596,$C5AF,$C5C5
17	9C2E	MapSystem_Entry_9C2E	Direct ROM analysis: Resume after two-byte inline BRK service at $9C2B	A	A,P	$1F	
17	9C35	MapSystem_Entry_9C35	Direct call from $17:$9C22		P		$9C94,$9CFE,$9E76,$9EE6,$9FE4,$9FFC,$A026,$A050,$A33C,$C5BF,$FF74
17	9C5F	MapSystem_Entry_9C5F	Direct call from $17:$9C1C	A,X	A,P,X	$04FF,$29,$29+X,$2A,$2B,$51+X	$C891
17	9C7E	MapSystem_Entry_9C7E	Direct call from $17:$9C07	A	A,P	$0505,$0508,$0509,$0553	
17	9C94	MapSystem_Entry_9C94	Direct call from $17:$9C59		P		$9242
17	9C9A	MapSystem_Entry_9C9A	Direct ROM analysis: Resume after two-byte inline BRK service at $9C97	A	A,P,X	$5A	$8DC4,$9CD8,$C8EC,$C90C,$FF74
17	9CD8	MapSystem_Entry_9CD8	Direct call from $17:$9CAF	A,Y	A,P,Y	$1C,$1D,$1E	$C636
17	9CFE	MapSystem_Entry_9CFE	Direct call from $17:$9C50		A,P		$9242,$9D41,$9DD0,$9FE4
17	9D11	MapSystem_Entry_9D11	Direct ROM analysis: Resume after two-byte inline BRK service at $9D0E		P		$9446,$9D23,$9DE6
17	9D20	MapSystem_Entry_9D20	Direct ROM analysis: Resume after two-byte inline BRK service at $9D1D		P		
17	9D23	MapSystem_Entry_9D23	Direct call from $17:$9D11	A	A,P		
17	9D32	MapSystem_Entry_9D32	Direct ROM analysis: Resume after two-byte inline BRK service at $9D2F		P		
17	9D3C	MapSystem_Entry_9D3C	Direct ROM analysis: Resume after two-byte inline BRK service at $9D39		P		
17	9D3D	MapSystem_Entry_9D3D	Direct ROM analysis: Second BRK service selected by the branch at $9D27		P		
17	9D40	MapSystem_Entry_9D40	Direct ROM analysis: Resume after two-byte inline BRK service at $9D3D		P		
17	9D41	MapSystem_Entry_9D41	Direct ROM analysis: Map UI scan routine adjacent to the service-return stub; Direct call from $17:$9D08	Y	A,P,Y	$01	$9FC6
17	9D56	MapSystem_Entry_9D56	Direct ROM analysis: Map UI routine called directly from $9D70; Direct call from $17:$9D70; Direct call from $17:$9D8C	A,Y	A,P,Y	$1C,$1D,$5B	
17	9D70	MapSystem_Entry_9D70	Direct call from $17:$9E28	A,Y	A,P,Y	$1E,$82	$9D56,$C636
17	9DA9	MapSystem_Entry_9DA9	Direct call from $17:$9E1C; Direct call from $17:$9F9D	A	A,P	$83	$9DB8,$9DC0
17	9DB8	MapSystem_Entry_9DB8	Direct call from $17:$9DA9	A,X,Y	A,P,X,Y	$0200+X,$0201+X,$0202+X,$0203+X,$1E	$9D56,$9FC6,$C636
17	9DC0	MapSystem_Entry_9DC0	Direct call from $17:$9DAC	A,Y	A,P,Y	$1E	$9D56,$C636
17	9DD0	MapSystem_Entry_9DD0	Direct call from $17:$9D0B	Y	A,P,Y	$FD,$FE,$FF	$9E33
17	9DE6	MapSystem_Entry_9DE6	Direct ROM analysis: Map UI update routine adjacent to verified code; Direct call from $17:$9D17	A,Y	A,P,X,Y	$34,$36,$37,$38,$59,$81,$83	$89A7,$9D70,$9E33,$9FFC,$A022
17	9E16	MapSystem_Entry_9E16	Direct ROM analysis: Resume after two-byte inline BRK service at $9E13	A,Y	A,P,X,Y	$36,$59,$81,$83	$89A7,$9D70,$9DA9,$9E33,$9E68,$9F52,$9FFC,$A022,$FF74
17	9E33	MapSystem_Entry_9E33	Direct call from $17:$9DDD; Direct call from $17:$9DF5	A,X	A,P,X	$32,$33,$FD,$FE	
17	9E68	MapSystem_Entry_9E68	Direct ROM analysis: Arithmetic helper called by map UI update routine; Direct call from $17:$9E19	A	A,P	$32,$33	
17	9E76	MapSystem_Entry_9E76	Direct call from $17:$9C4D	A,X,Y	A,P,X,Y	$04FA+Y,$60,$7B+X,$7E+X,$81+X	$9EB8,$A38D
17	9EB8	MapSystem_Entry_9EB8	Direct call from $17:$9EA8	A,X,Y	A,P,X		
17	9EE6	MapSystem_Entry_9EE6	Direct call from $17:$9C47	A	A,P		$9242
17	9EF7	MapSystem_Entry_9EF7	Direct ROM analysis: Resume after two-byte inline BRK service at $9EF4		A,P		$81C2
17	9F03	MapSystem_Entry_9F03	Direct ROM analysis: Resume after two-byte inline BRK service at $9F00	A	A,P,X	$36	$8BCD,$8DC4,$C8EC,$C90C
17	9F38	MapSystem_Entry_9F38	Direct ROM analysis: Resume after two-byte inline BRK service at $9F35	A,X	A,P,X,Y	$36	$8BCD,$8DC4,$9F58,$9FC5,$9FFC,$A022,$C90C
17	9F4F	MapSystem_Entry_9F4F	Direct ROM analysis: Resume after two-byte inline BRK service at $9F4C		P		
17	9F52	MapSystem_Entry_9F52	Direct ROM analysis: Map UI sprite routine called directly from $9E16; Direct call from $17:$9E16	A,X,Y	A,P,X,Y	$00,$01,$0200+X,$0200+Y,$0201+X	$9DA9,$A58F,$FF74
17	9F58	MapSystem_Entry_9F58	Direct ROM analysis: Alternate signed-direction entry for the sprite movement routine; Direct call from $17:$9F3E	A,X,Y	A,P,X,Y	$00,$01,$0200+X,$0200+Y,$0201+X	$9DA9,$A58F,$FF74
17	9FC5	MapSystem_Entry_9FC5	Direct ROM analysis: Alternate entry decrements the object index before the OAM writer; Direct call from $17:$9F43	A,X,Y	A,P,X,Y	$0200+X,$0201+X,$0202+X,$0203+X	
17	9FC6	MapSystem_Entry_9FC6	Direct call from $17:$9D4A; Direct call from $17:$9DA0	A,X,Y	A,P,X	$0200+X,$0201+X,$0202+X,$0203+X	
17	9FCE	MapSystem_Entry_9FCE	Direct call from $17:$9FEA	A,X,Y	A,P	$0200+X,$0201+X,$0202+X,$0203+X	
17	9FE4	MapSystem_Entry_9FE4	Direct call from $17:$9C3B; Direct call from $17:$9C53; Direct call from $17:$9CFE	X,Y	A,P,X,Y		$9FCE
17	9FFC	MapSystem_Entry_9FFC	Direct call from $17:$9C35; Direct call from $17:$9E0D; Direct call from $17:$9F38	A,X	A,P,X	$01,$04F3+X,$04F4+X	$8BE7
17	A022	MapSystem_Entry_A022	Direct ROM analysis: Map UI setup helper called directly from $9E11; Direct call from $17:$9E10; Direct call from $17:$9F3B	A,X,Y	A,P,X,Y	$0200+Y,$0201+Y,$0202+Y,$0203+Y	
17	A026	MapSystem_Entry_A026	Direct call from $17:$9C38	A,X,Y	A,P,X,Y	$0200+Y,$0201+Y,$0202+Y,$0203+Y	
17	A050	MapSystem_Entry_A050	Direct call from $17:$9C4A	A,X	A,P,X,Y	$03,$2C,$2D,$2E,$2F+X,$35,$37	$9242,$A0F3,$A1B9,$A1FF,$A206,$A226,$A261,$C8EC,$FF74
