Bank	Address	Name	CallingConvention	RegisterInputs	RegisterOutputs	DirectMemoryWrites	Calls
08	803C	Bank08_MapTileServices	Direct call from $08:$84EF	A,X	A,P,X	$6F20+X,$6F40+X,$7600+X,$761F+X	
08	8055	MapTileSystem_Entry_8055	Direct call from $08:$8509; Direct call from $08:$879D	A,X	A,P,X,Y	$00,$01,$0E,$0F	
08	8082	MapTileSystem_Entry_8082	Direct call from $08:$8473	A,Y	A,P,Y	$000A+Y,$0A,$0B	
08	8097	MapTileSystem_Entry_8097	Pointer $08:$803A (30-entry map and tile service directory)	A	A,P	$0A,$0B	
08	80B7	MapTileSystem_Entry_80B7	Direct call from $08:$851E	A	A,P	$0E,$0F	
08	80C4	MapTileSystem_Entry_80C4	Direct call from $08:$8655	A,Y	A,P,Y	$0A,$0B,$0C	
08	80D5	MapTileSystem_Entry_80D5	Direct call from $08:$8481; Direct call from $08:$8658; Direct call from $08:$8733	A,X,Y	A,P,X,Y	$00,$01,$0100,$0100+Y,$0101,$0102,$0102+X,$0103,$0103+X,$0104,$0105,$0106,$0107,$02,$03,$08,$0C,$72,$73,$75,$76	$C813,$C81D
08	823D	MapTileSystem_Entry_823D	Direct call from $08:$84AB	A,X,Y	A,P,X,Y	($00),Y,$00,$01,$0100+X,$0101+X,$02,$03,$04,$18,$75,$7700+Y,$7701+Y,$79	$C813
08	8340	MapTileSystem_Entry_8340	Direct call from $08:$865B	A,X,Y	A,P,X,Y	($00),Y,$00,$01,$0100+X,$0101+X,$02,$03,$18,$75,$7700+Y,$7701+Y,$79	$C81D
08	8362	MapTileSystem_Entry_8362	Direct call from $08:$8503; Direct call from $08:$864F; Direct call from $08:$8776	A,X	A,P,X,Y	$00,$01,$19,$1A	
08	838D	MapTileSystem_Entry_838D	Direct call from $08:$8506; Direct call from $08:$8652; Direct call from $08:$8779	A	A,P	$2006	
08	839F	MapTileSystem_Entry_839F	Direct call from $08:$8406	A,X	A,P,X	$0300+X,$050A,$050B	
08	83BD	MapTileSystem_Entry_83BD	Direct call from $08:$84AE; Direct call from $08:$865E	A,X	A,P,X	$00,$01	$83F4,$89C9,$C7E1
08	83F4	MapTileSystem_Entry_83F4	Direct call from $08:$83E2; Direct call from $08:$878E	A,X,Y	A,P,X,Y	$0300+X,$050A,$2007	$839F
08	8433	MapTileSystem_Entry_8433	Direct call from $08:$847E; Direct call from $08:$8730	A,X	A,P,X	($00,X),$00,$01	$C813
08	8452	MapTileSystem_Entry_8452	Direct call from $08:$8484; Direct call from $08:$8736	A,X	A,P,X	$6F20+X,$6F40+X	
08	8476	MapTileSystem_Entry_8476	Direct call from $08:$8581; Direct call from $08:$8596	A,X	A,P,X	$0E,$0F,$6E5E+X	$80D5,$823D,$83BD,$8433,$8452
08	84BD	MapTileSystem_Entry_84BD	Direct call from $08:$850F; Direct call from $08:$8524	A,X	A,P,X	$0E,$0F,$16,$6E5E+X	$8082,$80D5,$823D,$83BD,$8433,$8452
08	84C2	MapTileSystem_Entry_84C2	Pointer $08:$802A (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$0D,$6E5E+X	
08	84C7	MapTileSystem_Entry_84C7	Pointer $08:$8004 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$0D,$6E5E+X	
08	853E	MapTileSystem_Entry_853E	Direct call from $08:$852F	A,X,Y	A,P,X,Y	$000A+Y,$16,$7684,$7685,$7686,$7687	$8476
08	859B	MapTileSystem_Entry_859B	Direct call from $08:$85D3	A	A,P	$0E,$7A	
08	85D3	MapTileSystem_Entry_85D3	Pointer $08:$8008 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00+X,$04,$05,$07,$09,$0D,$0E,$0F,$74,$79	$859B,$864B,$C813,$C81D
08	864B	MapTileSystem_Entry_864B	Direct call from $08:$8623	A,X,Y	A,P,X,Y	$16	$80C4,$80D5,$8340,$8362,$838D,$83BD
08	8668	MapTileSystem_Entry_8668	Pointer $08:$801A (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00+X,$04,$05,$07,$09,$0D,$0E,$0F,$16,$18,$6BDD,$72,$73,$74,$79,$7A	$864B,$C62D,$C813,$C81D
08	8676	MapTileSystem_Entry_8676	Pointer $08:$8016 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00+X,$04,$05,$07,$09,$0D,$0E,$0F,$16,$18,$6BDD,$72,$73,$74,$79,$7A	$864B,$C813,$C81D
08	86E5	MapTileSystem_Entry_86E5	Pointer $08:$8006 (30-entry map and tile service directory)	A,X	A,P,X	$0609+X,$16,$18,$6BDD	
08	86F2	MapTileSystem_Entry_86F2	Pointer $08:$800E (30-entry map and tile service directory)	A,X	A,P,X	$0609+X	
08	8710	MapTileSystem_Entry_8710	Pointer $08:$8022 (30-entry map and tile service directory)	A,Y	A,P,X,Y	($00),Y,$00,$01,$05,$09,$0A,$0B,$0C,$0D,$16,$18,$79	$80D5,$8433,$8452,$8774,$C813
08	8774	MapTileSystem_Entry_8774	Direct call from $08:$8765; Direct call from $08:$876C	A,X	A,P,X	$00,$01	$8362,$838D,$83F4,$C7E1
08	8796	MapTileSystem_Entry_8796	Pointer $08:$8024 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$02,$03,$04,$05,$053E,$053F,$0540,$0541,$06,$07,$08,$09,$0A,$0B,$0C,$51,$52,$53	$8055,$8800,$880E,$893D,$8957,$896F,$D3E6
08	8800	MapTileSystem_Entry_8800	Direct call from $08:$87AE; Direct call from $08:$87EB	A,Y	A,P,Y	$00,$01	
08	880E	MapTileSystem_Entry_880E	Direct call from $08:$87B1; Direct call from $08:$87EE	A,X	A,P,X		
08	893D	MapTileSystem_Entry_893D	Direct call from $08:$8915; Direct call from $08:$8926	A,X,Y	A,P,X,Y		
08	8957	MapTileSystem_Entry_8957	Direct call from $08:$886A; Direct call from $08:$8871; Direct call from $08:$8894; Direct call from $08:$889B; Direct call from $08:$88B2; Direct call from $08:$88B8; Direct call from $08:$88D1; Direct call from $08:$88D7; Direct call from $08:$8919	A,X,Y	A,P,X,Y	$03	$D3E6
08	896F	MapTileSystem_Entry_896F	Direct call from $08:$8847; Direct call from $08:$8902; Direct call from $08:$8908; Direct call from $08:$890B	A,Y	A,P,Y		
08	89C9	MapTileSystem_Entry_89C9	Direct call from $08:$83DF	A,X	A,P,X	$0108+X,$02,$75	$8A00,$8A15
08	8A00	MapTileSystem_Entry_8A00	Direct call from $08:$89DC	A,X	A,P,X	$03	
08	8A15	MapTileSystem_Entry_8A15	Direct call from $08:$89E8	A,X	A,P,X	$03	
08	8A2A	MapTileSystem_Entry_8A2A	Direct call from $08:$8535	A,X,Y	A,P,X,Y	$6F40+Y,$6F41,$6F54	
08	8A85	MapTileSystem_Entry_8A85	Direct call from $08:$8538	A,X	A,P,X	$058C	
08	AEE3	MapTileSystem_Entry_AEE3	Direct call from $08:$B639; Pointer $08:$8010 (30-entry map and tile service directory)		P,X		
08	AF13	MapTileSystem_Entry_AF13	Direct call from $08:$B2DA	A,Y	A,P,X,Y	$44,$45,$62AA,$63,$64	$AF82,$AF89,$AF99,$B5F1
08	AF82	MapTileSystem_Entry_AF82	Direct call from $08:$AF79; Direct call from $08:$AFB1; Direct call from $08:$AFDB; Direct call from $08:$B001; Direct call from $08:$B02C; Direct call from $08:$B229	A,X,Y	P	$44,$45,$64	
08	AF89	MapTileSystem_Entry_AF89	Direct call from $08:$AF32; Direct call from $08:$B08D	A,Y	A,P,Y	$65	$B037
08	AF99	MapTileSystem_Entry_AF99	Direct call from $08:$AF35	A,X,Y	A,P,X,Y	$44,$45,$64	$AF82,$B5E2,$B5F1
08	B037	MapTileSystem_Entry_B037	Direct call from $08:$AF89; Direct call from $08:$B5F2	A,Y	A,P,Y	$DA,$DB	
08	B05C	MapTileSystem_Entry_B05C	Direct call from $08:$AEEA; Direct call from $08:$AEEE; Direct call from $08:$AEF6; Direct call from $08:$AEFF; Direct call from $08:$B071; Direct call from $08:$B090; Direct call from $08:$B096	A,X	A,P,X	$E9	$C3EA
08	B06A	MapTileSystem_Entry_B06A	Direct call from $08:$B2E7; Pointer $08:$8012 (30-entry map and tile service directory)		P,X		
08	B135	MapTileSystem_Entry_B135	Direct call from $08:$B0A7; Direct call from $08:$B0B4; Direct call from $08:$B0C1; Direct call from $08:$B0CA; Direct call from $08:$B0DF; Direct call from $08:$B0F8; Direct call from $08:$B10A; Direct call from $08:$B114; Direct call from $08:$B126; Direct call from $08:$B12E; Direct call from $08:$B318		P		
08	B188	MapTileSystem_Entry_B188	Pointer $08:$8000 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y		$AF82
08	B22E	MapTileSystem_Entry_B22E	Pointer $08:$8014 (30-entry map and tile service directory)	A	A,P,X,Y		$AF82,$B246,$B323,$B397,$B48E,$B554,$B59F,$B5E8
08	B246	MapTileSystem_Entry_B246	Direct call from $08:$B231	A,X,Y	A,P,X,Y	$00,$01,$42,$43,$63,$64,$DE,$DF,$E4,$E5,$E6,$E7	$AF13,$B06A,$B135,$B4C1,$B4ED
08	B304	MapTileSystem_Entry_B304	Pointer $08:$8034 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00,$42,$43	$B135
08	B323	MapTileSystem_Entry_B323	Direct call from $08:$B22E	A,Y	A,P,X,Y	$00,$44,$45,$63,$64	$AF82,$B376,$B5E8
08	B376	MapTileSystem_Entry_B376	Direct call from $08:$B368	A,Y	A,P	$7928,$79F1,$7A5F,$7A6A	
08	B397	MapTileSystem_Entry_B397	Direct call from $08:$B234	A,Y	A,P,Y	$00,$64	$B5E2
08	B48E	MapTileSystem_Entry_B48E	Direct call from $08:$B23D; Direct call from $08:$B2E0	A	A,P	$00	
08	B4C1	MapTileSystem_Entry_B4C1	Direct call from $08:$B28E; Direct call from $08:$B2A0	A	A,P	$DE,$DF	
08	B4E5	MapTileSystem_Entry_B4E5	Pointer $08:$8026 (30-entry map and tile service directory)	A,X,Y	A,P,X,Y	$00,$01,$04,$05,$08,$09,$DC,$DD	$C827
08	B4ED	MapTileSystem_Entry_B4ED	Direct call from $08:$B256	A,X,Y	A,P,X,Y	$00,$01,$04,$05,$08,$09,$DC,$DD	$C827
08	B554	MapTileSystem_Entry_B554	Direct call from $08:$B23A	A,X,Y	A,P,X,Y	$04,$05,$08,$09,$44,$45,$DC,$DD	$C851
08	B59F	MapTileSystem_Entry_B59F	Direct call from $08:$B240	A	A,P	$62AA	
08	B5E2	MapTileSystem_Entry_B5E2	Direct call from $08:$AFE5; Direct call from $08:$B442; Direct call from $08:$B457	A	A,P		
08	B5E8	MapTileSystem_Entry_B5E8	Direct call from $08:$B183; Direct call from $08:$B237; Direct call from $08:$B364	A	P		$B5F1
08	B5F1	MapTileSystem_Entry_B5F1	Direct call from $08:$AF4E; Direct call from $08:$B5E9; Pointer $08:$8002 (30-entry map and tile service directory)	A,Y	A,P,Y	$07BA	$B037
08	B60E	MapTileSystem_Entry_B60E	Pointer $08:$8020 (30-entry map and tile service directory)	A,X	A,P,X		$AEE3,$B644
08	B644	MapTileSystem_Entry_B644	Direct call from $08:$B634	A	A,P		
08	B6B8	MapTileSystem_Entry_B6B8	Pointer $08:$800A (30-entry map and tile service directory)	A	A,P	$6289	
08	B70E	MapTileSystem_Entry_B70E	Pointer $08:$801C (30-entry map and tile service directory)	A	A,P		
08	B71C	MapTileSystem_Entry_B71C	Pointer $08:$801E (30-entry map and tile service directory)		P		
08	B725	MapTileSystem_Entry_B725	Pointer $08:$8038 (30-entry map and tile service directory)	A	A,P,X	$DE,$DF	$C851,$C891
08	B75D	MapTileSystem_Entry_B75D	Pointer $08:$800C (30-entry map and tile service directory)	A	A,P		
08	B7AE	MapTileSystem_Entry_B7AE	Pointer $08:$8028 (30-entry map and tile service directory)	A	A,P		
0E	8008	Bank0E_EntryCode	Direct call from $0E:$802D; Supplied ROM map: Documented code region $8008-$8090	A	P	$06,$07	$BAF7
0E	8010	GraphicsPaletteSystem_Entry_8010	Pointer $0E:$8000 (Four-entry graphics and palette service directory)	A	A,P		$802D
0E	802D	GraphicsPaletteSystem_Entry_802D	Direct call from $0E:$8017; Pointer $0E:$8002 (Four-entry graphics and palette service directory)	A,Y	A,P,X,Y	($1A),Y,$05FC,$16,$17,$18,$19,$1A,$1B	$8008,$C813,$C81D
0E	BAF7	Bank0E_SelectMapPalette	Direct call from $0E:$800A; Supplied ROM map: Documented map-palette code region $BAF7-$BB52	A,X,Y	A,P,X,Y		
0E	BEEA	GraphicsPaletteSystem_Entry_BEEA	Pointer $0E:$8006 (Four-entry graphics and palette service directory)	A,X,Y	A,P,X,Y	$00+X,$01+X,$02+X,$72,$73,$74	$BF41
0E	BF41	GraphicsPaletteSystem_Entry_BF41	Direct call from $0E:$BF02; Direct call from $0E:$BF11; Direct call from $0E:$BF14	A,X	A,P	$00+X,$01+X,$02+X	
0F	C001	LowerFixedEngine_Entry_C001	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 00; Direct call from $0F:$C9FF	A,Y	A,P,Y	$052F,$3E	$EA03
0F	C004	LowerFixedEngine_Entry_C004	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 01	A	A,P	$0507	$E584,$E5A5,$FF91
0F	C007	LowerFixedEngine_Entry_C007	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 02; Direct call from $0F:$CDD5	A,X	A,P,X	$0201+X,$0202+X,$0205+X,$0206+X,$0209+X,$020A+X,$020D+X,$020E+X	$C78C,$D864,$D876,$F1B7,$F1C1
0F	C00A	LowerFixedEngine_Entry_C00A	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 03	A	A,P	$29	$C58F,$C5AF,$EFF5,$F15B,$F194
0F	C00D	LowerFixedEngine_Entry_C00D	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 04	A	A,P	$29	$C58F,$C5AF,$EFF5,$F15B,$F194
0F	C010	LowerFixedEngine_Entry_C010	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 05	A,X	A,P,X	$7001+X,$7021+X	
0F	C013	LowerFixedEngine_Entry_C013	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 06	A,X,Y	A,P,X,Y	$052A,$052B,$052C,$052D,$51,$52,$58,$7004+X,$7024+X,$7144+Y	$D251,$D3E6,$F243,$F2D7,$F372,$F38D,$F3A5,$F3AE,$F3B9,$F3C4,$F3F3,$F40C,$F433,$F467,$F489
0F	C016	LowerFixedEngine_Entry_C016	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 07	A	A,P	$0507	
0F	C019	LowerFixedEngine_Entry_C019	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 08; Direct call from $0F:$C1AD		P		
0F	C01C	LowerFixedEngine_Entry_C01C	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 09		P		
0F	C01F	LowerFixedEngine_Entry_C01F	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 0A		P		
0F	C022	LowerFixedEngine_Entry_C022	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 0B		P		
0F	C025	LowerFixedEngine_Entry_C025	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 0C		P		
0F	C028	LowerFixedEngine_Entry_C028	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 0D		P		
0F	C02B	LowerFixedEngine_Entry_C02B	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 0E		P		
0F	C02E	LowerFixedEngine_Entry_C02E	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 0F	A	A,P	$0300,$0302,$050B,$1F,$7E,$7F,$82	$C62D,$F4FD,$F510,$FF91
0F	C031	LowerFixedEngine_Entry_C031	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 10		P		
0F	C034	LowerFixedEngine_Entry_C034	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 11	A,X,Y	A,P,X,Y	($00),Y,$00,$00+X,$01,$02,$03	
0F	C037	LowerFixedEngine_Entry_C037	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 12	A,X,Y	A,P,X,Y	$00,$01,$02,$2006,$2007	$C58F,$C5AF
0F	C03A	LowerFixedEngine_Entry_C03A	Direct ROM analysis: Lower-half fixed-bank JMP trampoline 13	A,X,Y	A,P,X,Y	$00,$01,$02,$2006,$2007	$C58F,$C5AF
0F	C104	LowerFixedEngine_Entry_C104	Direct call from $0F:$C09E; Direct call from $0F:$C198	A	A,P	$DFFF,$FFDF	$C118,$C12F
0F	C118	LowerFixedEngine_Entry_C118	Direct call from $0F:$C10A	A	A,P	$0500,$9FFF	
0F	C12F	LowerFixedEngine_Entry_C12F	Direct call from $0F:$C110; Direct call from $0F:$C1A5; Direct call from $0F:$C1AA; Direct call from $0F:$C1D7; Direct call from $0F:$C1EC	A	A,P	$0501,$BFFF	
0F	C15A	LowerFixedEngine_Entry_C15A	Direct ROM analysis: Lower-half NMI body installed at RAM $0502	A,X,Y	A,P,X,Y	$00+X,$01+X,$0103+X,$0104+X,$0105+X,$0508,$0509,$050A,$050B,$050C,$0513,$0517,$10,$11,$1F,$20,$21,$22,$23,$24,$26,$27,$627B+X,$76,$77,$78,$C221	$0023,$C019,$C104,$C12F,$C222,$C2EA,$C303,$C3BA,$FF91
0F	C222	LowerFixedEngine_Entry_C222	Direct call from $0F:$C178	A,X,Y	A,P,X,Y	$050A,$050B,$1F,$2000,$2006,$2007	
0F	C2EA	LowerFixedEngine_Entry_C2EA	Direct call from $0F:$C17E	A	A,P	$2000,$2001,$2005	
0F	C303	LowerFixedEngine_Entry_C303	Direct call from $0F:$C17B	A	A,P	$2001,$4014	
0F	C3BA	LowerFixedEngine_Entry_C3BA	Direct call from $0F:$C39A; Direct call from $0F:$C3D6	A,X	A,P,X	$24,$25	$FF91
0F	C3EA	LowerFixedEngine_Entry_C3EA	Direct call from $08:$B062; Direct call from $08:$B6DC; Direct call from $08:$B6E4; Direct call from $08:$B6F4; Direct call from $08:$B6FC; Direct call from $08:$B705; Direct call from $0F:$DAE0; Direct call from $0F:$DB56; Direct call from $0F:$DB7F	A,X,Y	A,P	$20,$23,$24	$FF91
0F	C408	LowerFixedEngine_Entry_C408	CPU vector: Lower-half IRQ/BRK vector target	A,X,Y	A,P,X,Y	$00+X,$01+X,$0103+X,$0104+X,$0508,$0509,$050A,$050B,$0513,$0517,$1F,$20,$21,$22,$23,$24,$26,$27,$627B+X,$76,$77,$78	$0023,$C3BA,$FF91
0F	C52F	LowerFixedEngine_Entry_C52F	Direct call from $0F:$C96B	A	A,P	$0508,$0509,$050A,$050B,$0513,$1F	
0F	C543	LowerFixedEngine_Entry_C543	Direct call from $0F:$C0C1	A,X	A,P,X	$0200+X	
0F	C569	LowerFixedEngine_Entry_C569	Direct call from $0F:$C0BE	A,X	P,X	$0400+X	$C575
0F	C575	LowerFixedEngine_Entry_C575	Direct call from $0F:$C569	A,X,Y	A,P,X,Y	$2006,$2007	
0F	C58F	LowerFixedEngine_Entry_C58F	Direct call from $0F:$EFF1; Direct call from $0F:$FB68	A,Y	A,P,Y	$0506,$2001	$C5A8
0F	C596	LowerFixedEngine_Entry_C596	Direct call from $0F:$C5AF	A,Y	A,P,Y	$0506,$2001	
0F	C5A8	LowerFixedEngine_Entry_C5A8	Direct call from $0F:$C58F	A	A,P	$1F	
0F	C5AF	LowerFixedEngine_Entry_C5AF	Direct call from $0F:$EFE1; Direct call from $0F:$FABE	A	A,P	$1F	$C596
0F	C62D	LowerFixedEngine_Entry_C62D	Direct call from $08:$866F; Direct call from $0F:$F4CB; Direct call from $0F:$F4F3	A	A,P	$12,$1F	$C913
0F	C662	LowerFixedEngine_Entry_C662	Direct call from $0F:$C72B; Direct call from $0F:$EDCF; Direct call from $0F:$EE0C	A	A,P	$1C,$1D	
0F	C6BF	LowerFixedEngine_Entry_C6BF	Direct call from $0F:$F0B5; Direct call from $0F:$F0E9	A,X	A,P,X	$0400+X,$0B,$0C,$0D,$0E,$0F,$1C,$1D	
0F	C6C3	LowerFixedEngine_Entry_C6C3	Direct call from $0F:$C72E	A,X	A,P,X	$0400+X,$0B,$0C,$0D,$0E,$0F,$1C,$1D	
0F	C727	LowerFixedEngine_Entry_C727	Direct call from $0F:$EF8C; Direct call from $0F:$EFAE	A,X	A,P,X	$0300+X,$050A,$050B,$0D,$1C,$1D,$1E	$C662,$C6C3
0F	C78C	LowerFixedEngine_Entry_C78C	Direct call from $0F:$D812; Direct call from $0F:$E1A9; Direct call from $0F:$E205; Direct call from $0F:$E20E; Direct call from $0F:$E260; Direct call from $0F:$E269; Direct call from $0F:$E336	A,X,Y	A,P,X,Y	$16	
0F	C7E1	LowerFixedEngine_Entry_C7E1	Direct call from $08:$83DC; Direct call from $08:$878B	A,X,Y	A,P,X,Y	$0108+Y,$0501,$0507,$BFFF,$FFFF	$FF91
0F	C813	LowerFixedEngine_Entry_C813	Direct call from $08:$8178; Direct call from $08:$8251; Direct call from $08:$8441; Direct call from $08:$861A; Direct call from $08:$862C; Direct call from $08:$8749; Direct call from $0E:$8086; Direct call from $0F:$C81D	A,X	A,P	$00+X,$01+X	
0F	C81D	LowerFixedEngine_Entry_C81D	Direct call from $08:$80F1; Direct call from $08:$80FC; Direct call from $08:$8162; Direct call from $08:$81AD; Direct call from $08:$81DA; Direct call from $08:$81F8; Direct call from $08:$835C; Direct call from $08:$8611; Direct call from $08:$86B9; Direct call from $0E:$8057; Direct call from $0E:$8075; Direct call from $0F:$D401; Direct call from $0F:$D408; Direct call from $0F:$E5F4; Direct call from $0F:$E6D1; Direct call from $0F:$E93C	A,X,Y	A,P	$01+X	$C813
0F	C827	LowerFixedEngine_Entry_C827	Direct call from $08:$B50D; Direct call from $0F:$D3FB; Direct call from $0F:$E96C	A,X	A,P	$00+X,$01+X,$16,$17,$18	
0F	C851	LowerFixedEngine_Entry_C851	Direct call from $08:$B595; Direct call from $08:$B732; Direct call from $0F:$E6B2; Direct call from $0F:$E6C2	A,X,Y	A,P,Y	$00+X,$01+X,$16,$17,$18,$19	
0F	C891	LowerFixedEngine_Entry_C891	Direct call from $08:$B725; Direct call from $0F:$D49A; Direct call from $0F:$D8ED; Direct call from $0F:$DCF3; Direct call from $0F:$DD90; Direct call from $0F:$EBE1; Direct call from $0F:$ED64	A,Y	A,P,Y	$050D,$16	$C8AD
0F	C8AD	LowerFixedEngine_Entry_C8AD	Direct call from $0F:$C897; Direct call from $0F:$C89E	A,Y	A,P,Y	$12,$13,$16	
0F	C8CC	LowerFixedEngine_Entry_C8CC	Direct call from $0F:$D1F0	A,X	A,P,X		$C8EC,$FF74
0F	C8EC	LowerFixedEngine_Entry_C8EC	Direct call from $0F:$C8D0; Direct call from $0F:$C8E4; Direct call from $0F:$D233	A,X,Y	A,P,X,Y	$14+X,$4016	$C8F3
0F	C8F3	LowerFixedEngine_Entry_C8F3	Direct call from $0F:$C8EE	A,X,Y	A,P,Y	$14+X,$4016	
0F	C90C	LowerFixedEngine_Entry_C90C	Direct call from $0F:$CA0B	X	P,X		$FF74
0F	C913	LowerFixedEngine_Entry_C913	Direct call from $0F:$FF82	A,X,Y	A,P,X,Y		$C91F
0F	C91F	LowerFixedEngine_Entry_C91F	Direct call from $0F:$C917	A,X	A,P,X	$0513	$C94E
0F	C94E	LowerFixedEngine_Entry_C94E	Direct call from $0F:$C934; Direct call from $0F:$C93A	A,X,Y	A,P,X,Y	$0200+X,$0200+Y,$10	
0F	C983	LowerFixedEngine_Entry_C983	Direct call from $0F:$C968	A,X	A,P,X	$6CAD+X	
0F	C9ED	LowerFixedEngine_Entry_C9ED	Direct call from $0F:$C97D		P		$CA21,$CB98,$CBB4,$D542,$E06E
0F	CA17	LowerFixedEngine_Entry_CA17	Direct call from $0F:$CA0E	A	A,P		$D241
0F	CA21	LowerFixedEngine_Entry_CA21	Direct call from $0F:$C9F3	A,X	A,P,X	$052F	$CA41,$CB1E,$CB71,$CBF8
0F	CA41	LowerFixedEngine_Entry_CA41	Direct call from $0F:$CA30	A,X,Y	A,P,X,Y	$0529,$058E,$058F,$0597,$14,$14+X,$4016,$56,$70E0+X	$C8F3,$D241,$DB18
0F	CB1E	LowerFixedEngine_Entry_CB1E	Direct call from $0F:$CA33	A,X	A,P,X		$CBBE,$CBCA,$CBD6,$CBE4
0F	CB71	LowerFixedEngine_Entry_CB71	Direct call from $0F:$CA39	A	A,P	$0539	
0F	CB98	LowerFixedEngine_Entry_CB98	Direct call from $0F:$C9F0	A,X	A,P,X	$0529,$052E,$4016	
0F	CBB4	LowerFixedEngine_Entry_CBB4	Direct call from $0F:$C9ED	A	A,P	$0526	
0F	CBBE	LowerFixedEngine_Entry_CBBE	Direct call from $0F:$CB46; Direct call from $0F:$CB4D; Direct call from $0F:$CB5D; Direct call from $0F:$CB64	A	A,P	$3D	$CC88,$CD85
0F	CBCA	LowerFixedEngine_Entry_CBCA	Direct call from $0F:$CB3D; Direct call from $0F:$CB50; Direct call from $0F:$CB5A; Direct call from $0F:$CB6D	A	A,P	$3D	$CC88,$CD85
0F	CBD6	LowerFixedEngine_Entry_CBD6	Direct call from $0F:$CB40; Direct call from $0F:$CB4A; Direct call from $0F:$CB60; Direct call from $0F:$CB6A	A	A,P	$3D	$CC88,$CD85
0F	CBE4	LowerFixedEngine_Entry_CBE4	Direct call from $0F:$CB43; Direct call from $0F:$CB53; Direct call from $0F:$CB57; Direct call from $0F:$CB67	A	A,P	$3D	$CC88,$CD85
0F	CBF8	LowerFixedEngine_Entry_CBF8	Direct call from $0F:$CA36	A,X	A,P,X,Y	$0529,$0539	$C8CC,$D1FD,$D251
0F	CC88	LowerFixedEngine_Entry_CC88	Direct call from $0F:$CBF1	A	A,P	$0528,$3E	$C007,$CC91,$CDDC,$CF91
0F	CC91	LowerFixedEngine_Entry_CC91	Direct call from $0F:$CC8B	A,X,Y	A,P,X,Y	$0201+X,$0202+X,$0205+X,$0206+X,$0209+X,$020A+X,$020D+X,$020E+X,$054E,$054F,$42+X,$43+X,$6195+X,$6196+X,$6F60,$6F60+X,$6F66+Y,$6F67+Y,$6F68+Y,$6F80,$6F80+X,$6F86+Y,$6F87+Y,$6F88+Y,$7000+X	$C78C,$CD0F,$CD52,$CD78,$D16F,$D7FC,$D864,$D876
0F	CD0F	LowerFixedEngine_Entry_CD0F	Direct call from $0F:$CCE6	A,X,Y	A,P,X,Y	$6FA7+X,$EC+X	$CD52,$D7FC
0F	CD52	LowerFixedEngine_Entry_CD52	Direct call from $0F:$CD4E	A,X	A,P,X	$6FE9	
0F	CD78	LowerFixedEngine_Entry_CD78	Direct call from $0F:$CCD5; Direct call from $0F:$CCDD; Direct call from $0F:$CCE1	A,Y	A,P	$7006+Y	
0F	CD85	LowerFixedEngine_Entry_CD85	Direct call from $0F:$CBC2; Direct call from $0F:$CBCE; Direct call from $0F:$CBDC; Direct call from $0F:$CBEA	A,Y	A,P,X,Y	$0539	$D1FD
0F	CDDC	LowerFixedEngine_Entry_CDDC	Direct call from $0F:$CDD8	A	A,P	$0516,$628C,$628D,$62ED	
0F	CE09	LowerFixedEngine_Entry_CE09	Direct call from $0F:$CA02	A,X	A,P,X	$0515,$0527,$0539,$6FA0,$6FC0,$7001+X,$7021+X	$CE72,$CEA9,$CF03,$CF38,$CF41,$CF56,$D1FD,$D218
0F	CE72	LowerFixedEngine_Entry_CE72	Direct call from $0F:$CE2E	A	A,P,X	$0527,$0539	$D1FD,$D218
0F	CEA9	LowerFixedEngine_Entry_CEA9	Direct call from $0F:$CE4A; Direct call from $0F:$CEA3	A,X	A,P,X	$051B	
0F	CEBE	LowerFixedEngine_Entry_CEBE	Direct call from $0F:$CE3C	A,X	A,P,X		
0F	CF03	LowerFixedEngine_Entry_CF03	Direct call from $0F:$CE9A	A,X,Y	A,P,X,Y	$42	
